sitecode,rolling_weighted_noshow,rolling_weighted_dayslate,txcurr,kephlevel,facilitytypecategory,ownertype,men_knowledge,women_knowledge,men_heardaids,men_highrisksex,men_highrisksex_multi,men_sexnotwithpartner,men_sexpartners,men_nevertested,men_testedrecent,men_sti,women_highrisksex,women_highrisksex_multi,women_sexnotwithpartner,women_sexpartners,women_nevertested,women_testedrecent,women_sti,women_heardaids
14300,,,,Level 3,HEALTH CENTRE,Ministry of Health,85.4,49.0,99.9,45.2,2.2,38.1,4.0,29.3,38.3,4.2,34.8,6.5,27.9,2.6,15.2,36.8,21.9,98.3
18219,,,,Level 2,DISPENSARY,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
25166,,,,Level 4,HOSPITALS,Ministry of Health,44.3,50.6,99.7,36.1,5.6,20.3,7.6,44.6,32.2,3.7,22.2,1.5,16.5,2.4,17.2,45.0,11.2,99.5
14156,,,,Level 4,HOSPITALS,Ministry of Health,39.9,71.5,98.8,38.8,13.2,22.8,7.1,21.9,42.7,2.6,21.5,3.1,15.1,3.0,11.9,59.2,5.8,99.3
14008,,,,Level 2,DISPENSARY,Faith Based Organization,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
14135,,,,Level 2,DISPENSARY,Ministry of Health,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
15126,,,,Level 4,HOSPITALS,Ministry of Health,30.6,31.8,98.1,44.0,21.1,33.9,6.8,31.4,41.4,2.1,25.5,0.8,21.1,1.9,19.2,38.1,3.7,98.6
25221,,,,Level 3,HEALTH CENTRE,Ministry of Health,60.9,45.3,100.0,46.0,20.9,36.7,6.6,19.4,44.3,4.2,20.9,2.1,14.6,1.9,9.7,49.2,9.8,100.0
11289,,,,Level 5,HOSPITALS,Ministry of Health,60.9,45.3,100.0,46.0,20.9,36.7,6.6,19.4,44.3,4.2,20.9,2.1,14.6,1.9,9.7,49.2,9.8,100.0
13220,,,,Level 2,DISPENSARY,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
13920,,,,Level 4,HOSPITALS,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
13191,,,,Level 3,HEALTH CENTRE,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
14022,,,,Level 4,HOSPITALS,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
14161,,,,Level 4,HOSPITALS,Ministry of Health,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
13686,,,,Level 3,HEALTH CENTRE,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
11259,,,,Level 2,MEDICAL CLINIC,Private Practice,60.9,45.3,100.0,46.0,20.9,36.7,6.6,19.4,44.3,4.2,20.9,2.1,14.6,1.9,9.7,49.2,9.8,100.0
13075,,,,Level 2,STAND ALONE,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
25166,,,,Level 4,HOSPITALS,Ministry of Health,44.3,50.6,99.7,36.1,5.6,20.3,7.6,44.6,32.2,3.7,22.2,1.5,16.5,2.4,17.2,45.0,11.2,99.5
16265,,,,Level 2,DISPENSARY,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
13564,,,,Level 4,HOSPITALS,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
13207,,,,Level 2,DISPENSARY,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
13798,,,,Level 4,None,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
13731,,,,Level 3,HEALTH CENTRE,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
13900,,,,Level 2,DISPENSARY,Ministry of Health,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
14161,,,,Level 4,HOSPITALS,Ministry of Health,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
13843,,,,Level 3,HOSPITALS,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
13220,,,,Level 2,DISPENSARY,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
18219,,,,Level 2,DISPENSARY,Faith Based Organization,74.2,58.0,100.0,52.5,18.4,43.6,9.3,10.8,50.3,5.0,30.8,4.8,22.7,2.6,9.8,50.3,12.5,100.0
13967,,,,Level 4,HOSPITALS,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
16265,,,,Level 2,DISPENSARY,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
16265,,,,Level 2,DISPENSARY,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
16265,,,,Level 2,DISPENSARY,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
16265,,,,Level 2,DISPENSARY,Ministry of Health,95.0,78.8,100.0,33.1,6.4,22.2,4.6,19.0,47.2,0.4,25.5,3.1,19.8,2.2,8.3,63.5,9.6,100.0
13798,,,,Level 4,None,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
11030,,,,Level 2,DISPENSARY,Faith Based Organization,37.5,50.8,99.0,45.9,17.7,33.4,8.2,23.3,31.7,3.5,30.2,5.8,22.8,2.6,8.9,49.9,20.7,100.0
11713,,,,Level 2,DISPENSARY,Ministry of Health,51.0,57.1,100.0,54.0,16.9,38.2,5.7,34.5,34.3,12.5,27.4,4.7,19.9,2.2,17.0,39.8,19.2,99.4
13842,,,,Level 3,HEALTH CENTRE,Ministry of Health,49.4,58.4,99.6,48.6,15.9,34.9,7.7,13.4,53.5,13.0,28.1,4.3,21.2,2.4,6.2,66.3,14.6,100.0
13656,,,,Level 4,HOSPITALS,Ministry of Health,62.7,44.8,100.0,56.3,28.7,44.1,7.5,17.1,53.7,13.1,25.4,4.6,19.0,2.4,8.2,59.1,11.0,99.5
